,diposting_oleh,sedang_pembangunan,disetujui_pemerintah,total_ruangan,tipe_a_atau_b,kaki_persegi,siap_pindah,dijual_kembali,alamat,longitude,latitude,harga,harga_per_kaki_persegi,harga_per_ruang
3216,Dealer,0,0,2,tipe_b,708.072021,1,1,"Nelamangala,Bangalore",77.340868,13.144144,35.0,0.04943000000278221,17.5
3217,Owner,0,0,2,tipe_b,1200.4175369999998,1,1,"Khodiyar Colony,Jamnagar",70.04974200000001,22.474577,23.0,0.019159999992569256,11.5
3218,Owner,0,0,1,selain tipe_a dan tipe_b,464.9196956999999,1,1,"Tilhari,Jabalpur",80.151852,23.059889,22.0,0.04731999999887293,22.0
3219,Dealer,0,0,3,tipe_a,1607.012418,1,1,"7th Phase JP Nagar,Bangalore",136.0,35.0,110.0,0.06844999999247049,36.666666666666664
3220,Owner,0,0,3,tipe_a,1773.2742239999998,1,1,"Haribhau Upadhyay Nagar,Ajmer",74.608558,26.476217,56.0,0.03158000000342869,18.666666666666668
3221,Owner,1,1,2,tipe_b,534.9023803,0,1,"Sarjapur,Bangalore",77.32633,12.86,20.0,0.03739000000108992,10.0
3222,Owner,0,0,2,tipe_b,848.1314604,1,1,"Kundrathur,Chennai",80.0966,12.9974,32.0,0.03772999999894827,16.0
3224,Owner,0,0,2,tipe_b,1025.040269,1,1,"Gerugambakkam,Chennai",80.137124,13.009604,70.0,0.06829000002925738,35.0
3225,Dealer,0,0,2,tipe_b,932.6776327,1,1,"Sector-6 Kharghar,Mumbai",73.061357,19.043302,110.0,0.11793999999931595,55.0
3226,Dealer,0,1,3,tipe_a,1700.1020059999998,1,1,"Nerul,Lalitpur",73.0172,19.0242,200.0,0.11764000000832893,66.66666666666667
3227,Owner,0,1,2,tipe_b,1068.376068,1,1,"Khajrana,Indore",75.90819599999999,22.738247,25.0,0.0234000000082368,12.5
3229,Dealer,0,0,1,selain tipe_a dan tipe_b,510.20408160000005,1,1,"Chelidanga,Asansol",86.951712,23.680545,12.5,0.024500000001567997,12.5
3230,Owner,0,0,2,tipe_b,900.0360014,1,1,"Tiruvanmiyur,Chennai",80.260671,12.984808,75.0,0.08333000000370874,37.5
3232,Dealer,0,0,3,tipe_a,1650.165017,1,1,"Koregaon Park Annexe,Pune",73.9,18.5333,150.0,0.0908999999725482,50.0
3234,Owner,1,0,2,tipe_b,1000.0,0,1,"Atchutapuram,Visakhapatnam",77.32633,17.7,30.0,0.03,15.0
3238,Dealer,0,0,3,tipe_a,1280.0,1,1,"NH-24 Highway,Ghaziabad",77.41667,28.66667,48.0,0.0375,16.0
3239,Owner,0,0,3,tipe_a,1365.103003,1,1,"Kada Agrahara,Bangalore",77.32633,13.078742,55.0,0.04029000000668814,18.333333333333332
3240,Dealer,0,0,2,tipe_b,1171.833387,1,1,"Sector-35D Kharghar,Lalitpur",76.755804,30.725549,110.0,0.09386999996783674,55.0
3241,Dealer,1,0,2,tipe_b,577.0463774,0,1,,88.451577,22.582439,27.0,0.04679000000251973,13.5
3242,Dealer,1,1,2,tipe_b,1176.470588,0,1,"Khandagiri,Bhubaneswar",85.780142,20.257483,66.0,0.05610000001122,33.0
3243,Dealer,0,0,2,tipe_b,1200.0,1,1,"NIBM,Pune",73.89000899999999,18.475864,69.0,0.0575,34.5
3244,Dealer,0,1,1,selain tipe_a dan tipe_b,610.0795756,1,1,"Zirakpur,Chandigarh",76.822397,30.662283,23.0,0.03769999999980331,23.0
3245,Owner,0,0,3,tipe_a,1699.716714,1,1,"Ernakulam, kochi,Kochi",76.25564,9.946764,96.0,0.0564799999960464,32.0
3247,Owner,0,0,2,tipe_b,1065.088757,1,1,"Hagadur,Bangalore",77.755187,12.963292,54.0,0.05070000001887167,27.0
3248,Dealer,0,0,3,tipe_a,1630.170316,1,1,"Banashankari Stage V,Bangalore",77.5532,12.9223,67.0,0.041100000007606566,22.333333333333332
3249,Dealer,0,0,2,tipe_b,1303.214596,1,1,"Doddakallasandra,Bangalore",77.557654,12.880993,75.0,0.057550000000153465,37.5
3250,Builder,1,1,2,tipe_b,648.6486486,0,0,"Adgaon,Lalitpur",78.41889,24.69028,20.4,0.03145000000235875,10.2
3252,Dealer,0,0,1,selain tipe_a dan tipe_b,850.0,1,1,"Chakan,ZAGADE WASTI,Pune",73.823649,18.744775,27.2,0.032,27.2
3254,Dealer,1,0,2,tipe_b,1243.935813,0,1,"New Town,Kolkata",88.484911,22.5922,100.0,0.08038999999431642,50.0
3255,Owner,0,0,3,tipe_a,1398.04274,1,1,"Tumkur Road,Bangalore",77.10167,13.34222,70.0,0.05007000000586534,23.333333333333332
3256,Dealer,1,0,3,tipe_a,1036.363636,1,0,"Rajpur,Kolkata",88.374433,22.101107,34.2,0.03300000001157895,11.4
3257,Dealer,1,1,2,tipe_b,496.2082202,0,0,"Hinjewadi,Lalitpur",73.7413,18.5853,53.0,0.10681000000088268,26.5
3258,Builder,0,0,3,tipe_a,1400.289715,1,0,"Malviya Nagar,Jaipur",75.814198,26.850391,58.0,0.04142000000335645,19.333333333333332
3259,Dealer,1,1,2,tipe_b,1095.100865,0,1,"Sector-88 Mohali,Mohali",76.691728,30.684523,53.2,0.048579999980184474,26.6
3260,Owner,0,0,3,tipe_a,1750.076758,1,1,"Bhayli,Vadodara",73.128222,22.288976,57.0,0.03256999999539449,19.0
3261,Owner,0,0,3,tipe_a,1418.727199,1,1,"Kavundampalayam,Coimbatore",76.935149,11.045655,70.0,0.04934000000094451,23.333333333333332
3263,Owner,0,0,2,tipe_b,1070.292161,1,1,"Panchavati,Jamnagar",70.022051,23.118635,37.0,0.03456999999460895,18.5
3264,Owner,0,1,2,tipe_b,1335.23233,1,1,"Electronics City Phase 1,Bangalore",77.659441,12.840956,75.0,0.056170000017899506,37.5
3266,Owner,0,0,2,tipe_b,979.9118079,1,1,"Sector-62 Noida,Noida",77.3674,28.6221,60.0,0.0612300000023298,30.0
3268,Owner,0,0,3,tipe_a,1200.111638,1,1,"Mahajati Nagar,Kolkata",88.33778000000001,22.54111,43.0,0.035830000008715855,14.333333333333334
3270,Owner,0,0,3,tipe_a,1399.972001,1,1,,72.98057,21.702961,100.0,0.07142999997754955,33.333333333333336
3271,Owner,0,0,2,tipe_b,1176.470588,1,1,"Teka Naka, Kamptee Road, Before Maruti Automotive,Nagpur",79.105515,21.181325,21.0,0.01785000000357,10.5
3272,Dealer,0,0,3,tipe_a,1200.0,1,1,"Mangyawas,Jaipur",75.74322099999999,26.857412,33.0,0.0275,11.0
3273,Owner,0,0,2,tipe_b,1176.470588,1,1,"Padmanabhanagar,Bangalore",77.5584,12.9155,60.0,0.051000000010200004,30.0
3274,Dealer,0,1,3,tipe_a,1740.745039,0,1,"Baner,Pune",73.77588,18.558319,150.0,0.08616999999389342,50.0
3275,Owner,0,1,2,tipe_b,814.8148147999999,1,1,"Salempur Musalma,Jalandhar",75.57,31.33,22.0,0.027000000000490913,11.0
3276,Dealer,0,0,3,tipe_a,1271.642375,1,1,"Sector-35G Kharghar,Mumbai",73.06612,19.038205,130.0,0.10223000000294895,43.333333333333336
3277,Dealer,0,0,3,tipe_a,1574.059499,1,1,,77.335388,28.568966,100.0,0.06353000001812512,33.333333333333336
3279,Owner,0,0,1,selain tipe_a dan tipe_b,452.0625353,1,1,"Vasundhara,Ghaziabad",77.37027900000001,28.65998,24.0,0.053090000002041754,24.0
3280,Owner,0,0,2,tipe_b,1176.470588,1,1,"Zanzarda,Junagadh",71.485322,21.071623,18.0,0.015300000003060001,9.0
3281,Owner,0,0,3,tipe_a,1176.470588,1,1,"Tara Nagar,Jaipur",75.767169,29.116822,31.0,0.02635000000527,10.333333333333334
3282,Owner,0,0,2,tipe_b,1100.110011,1,1,"Jagriti Vihar,Meerut",78.068793,30.292178000000003,40.0,0.03636000000003636,20.0
3283,Owner,0,0,3,tipe_a,1176.470588,1,1,,72.940376,20.942355,30.0,0.025500000005100002,10.0
3284,Dealer,0,1,4,selain tipe_a dan tipe_b,2124.269782,1,1,"Kondhwa,Pune",73.84778,18.52361,120.0,0.05649000000697652,30.0
3285,Dealer,0,0,2,tipe_b,1285.240464,1,1,"Crossing Republik,Ghaziabad",77.434197,28.629811,31.0,0.024120000006473498,15.5
3286,Owner,0,0,2,tipe_b,1176.470588,1,1,"Mahad,Raigad",73.417,18.083,25.0,0.02125000000425,12.5
3287,Owner,0,0,3,tipe_a,1500.093756,1,1,"Gomti Nagar Extension,Lucknow",77.0,21.0,80.0,0.053329999995013644,26.666666666666668
3288,Owner,0,0,1,selain tipe_a dan tipe_b,840.3361345000001,1,1,"Katargam,Surat",72.832454,21.232813,16.0,0.019039999998952797,16.0
3289,Dealer,0,1,1,selain tipe_a dan tipe_b,450.4504505,1,0,"Panvel,Maharashtra",73.148278,18.966114,47.0,0.1043399999885226,47.0
3291,Dealer,0,1,2,tipe_b,1082.940963,1,1,"Ravet,Pune",73.735448,18.651598,59.8,0.05522000002136774,29.9
3294,Dealer,1,1,2,tipe_b,1064.127695,0,1,"Tamando,Bhubaneswar",77.32633,20.236361,38.0,0.03571000001085396,19.0
3295,Dealer,0,1,2,tipe_b,1035.177721,1,1,"Taloja Panchanand,Mumbai",72.83333,18.96667,56.5,0.0545799999882339,28.25
3296,Owner,1,0,2,tipe_b,1511.97953,0,1,"Sector-2A Dharuhera,Dharuhera",86.138586,23.653251,65.0,0.042990000003505335,32.5
3297,Owner,0,1,2,tipe_b,1176.470588,1,1,"Salan Gaon,Dehradun",78.646387,30.488981,50.0,0.0425000000085,25.0
3298,Dealer,0,1,2,tipe_b,1150.035386,1,1,"Raj Nagar Extension,Ghaziabad",75.775927,26.900926,32.5,0.02825999999273066,16.25
3299,Dealer,0,0,3,tipe_a,920.076902,1,1,"Madurdaha,Kolkata",88.33778000000001,22.54111,33.5,0.03640999999802191,11.166666666666666
3300,Dealer,0,0,2,tipe_b,1110.429448,1,1,"Muchipara,Durgapur",77.32633,23.55,18.1,0.016299999997838675,9.05
3301,Owner,0,1,2,tipe_b,935.1256575,1,1,"Old Madras Road,Bangalore",77.656104,12.990758,48.0,0.05133000000056142,24.0
3302,Dealer,0,0,2,tipe_b,1000.0,1,1,"Zingabai Takli,Nagpur",79.491924,21.033401,22.0,0.022,11.0
3303,Dealer,0,1,2,tipe_b,960.1536246,1,1,"Malad (West),Lalitpur",72.8347,19.1849,140.0,0.14580999999695257,70.0
3304,Owner,0,1,3,tipe_a,1250.0,1,1,"Katara Hills,Bhopal",77.498465,23.185756,33.5,0.0268,11.166666666666666
3305,Dealer,1,0,2,tipe_b,850.1118567999999,0,1,"Bagha Jatin Pally,Kolkata",77.32633,22.485533,38.0,0.04470000000122337,19.0
3306,Dealer,0,0,2,tipe_b,900.1636661,1,1,"Mansarovar Extension,Jaipur",75.7633,26.8626,22.0,0.02444000000057323,11.0
3307,Dealer,0,0,2,tipe_b,1139.04709,1,1,"Roadpali,Lalitpur",78.41889,24.69028,82.0,0.07198999999201086,41.0
3308,Owner,0,0,2,tipe_b,950.1187648,1,1,,88.4431525,22.648322,60.0,0.0631500000030312,30.0
3309,Dealer,0,1,2,tipe_b,1176.470588,1,1,"Talegaon Dabhade,Pune",73.68,18.72,29.1,0.024735000004947005,14.55
3311,Owner,0,0,3,tipe_a,1618.181818,1,1,"Gorantla,Guntur",80.439059,16.338,53.4,0.03300000000370786,17.8
3312,Owner,0,0,2,tipe_b,1028.162718,1,1,"Shiyabaug,Vadodara",73.2,22.3,23.0,0.02236999999838547,11.5
3313,Dealer,0,0,1,selain tipe_a dan tipe_b,630.0431082,1,1,"Sector 20 Ulwe,Lalitpur",77.3293,28.5822,57.0,0.09047000000181893,57.0
3314,Builder,0,1,3,tipe_a,1388.571429,1,0,"Mukambika Nagar,Dharwad",74.992643,15.474386,48.6,0.03499999998919753,16.2
3315,Dealer,0,0,2,tipe_b,1165.161666,1,1,"New Thippasandra,Bangalore",77.651656,12.974961,80.0,0.06866000001067663,40.0
3316,Owner,0,0,2,tipe_b,1050.262566,1,1,"Zingabai Takli,Nagpur",79.491924,21.033401,28.0,0.02665999999089751,14.0
3317,Dealer,0,0,2,tipe_b,1079.679397,1,1,"Sector-115 Mohali,Mohali",76.648557,30.712867,22.9,0.021209999990395294,11.45
3318,Dealer,0,0,2,tipe_b,1176.470588,1,1,"Sector 17 Ulwe,Lalitpur",73.019574,18.964489,69.0,0.05865000001173001,34.5
3319,Owner,0,0,2,tipe_b,1140.186916,1,1,"Sahayogi Nagar Sector II,Dhanbad",86.468278,23.821052,30.5,0.02674999999736885,15.25
3320,Owner,0,0,2,tipe_b,1282.051282,1,1,"Wagholi,Pune",73.983,18.5823,65.0,0.050700000002028005,32.5
3321,Dealer,1,1,2,tipe_b,807.1428571,0,1,"Mahim,Palghar",72.7256,19.6394,22.6,0.028000000001486728,11.3
3322,Dealer,1,1,3,tipe_a,1772.3342940000002,0,1,"Gazipur,Mohali",76.829909,30.638175,61.5,0.034699999998984384,20.5
3324,Owner,0,0,2,tipe_b,1176.470588,1,1,"Jankipuram,Lucknow",80.948937,26.92652,66.0,0.05610000001122,33.0
3325,Dealer,1,1,2,tipe_b,750.0797957000001,0,1,"Naigaon (East),Lalitpur",72.864824,19.35269,47.0,0.06266000000191713,23.5
3326,Owner,0,0,3,tipe_a,1950.867052,1,1,"G.M.S Road,Dehradun",-86.56196551,38.96026502,81.0,0.04152000000049209,27.0
3327,Dealer,0,1,3,tipe_a,1685.3932579999998,1,1,"Zirakpur,Chandigarh",76.822397,30.662283,57.0,0.03382000000856774,19.0
3328,Builder,0,0,3,tipe_a,1176.470588,1,0,"Sector-109 Gurgaon,Gurgaon",77.006087,28.510825,120.0,0.10200000002040001,40.0
3329,Dealer,0,0,3,tipe_a,1934.576152,1,1,"Hennur Road,Bangalore",77.6485,13.0306,110.0,0.05685999999859401,36.666666666666664
3331,Owner,0,0,2,tipe_b,1100.0,1,1,"Bommanahalli,Bangalore",77.625811,12.907374,66.0,0.06,33.0
3333,Owner,0,0,2,tipe_b,675.0082318,1,1,"Midc Baramati,Pune",77.32633,18.15,20.5,0.030370000000346665,10.25
3335,Owner,0,1,2,tipe_b,755.0969041000001,1,1,"Karanjawane Wasti,Pune",74.262791,18.712746,30.0,0.0397300000001417,15.0
3336,Owner,0,0,2,tipe_b,1390.0472619999998,1,1,"Kalena Agrahara,Bangalore",77.59036,12.865219,100.0,0.07193999997965538,50.0
3337,Dealer,0,0,2,tipe_b,980.1095417,1,1,"Rajarhat,Kolkata",88.33778000000001,22.54111,34.0,0.034689999998395074,17.0
3338,Dealer,0,1,3,tipe_a,1176.470588,1,1,"Sector-78 Noida,Noida",77.386208,28.560719,63.3,0.053805000010761,21.099999999999998
3340,Owner,0,0,2,tipe_b,1092.896175,1,1,"Bhatha Bhatpor,Surat",72.745476,21.148389,20.0,0.0182999999977125,10.0
3341,Dealer,0,0,3,tipe_a,1992.882562,1,1,"Kempapura,Bangalore",77.32633,13.096162,140.0,0.07025000000978482,46.666666666666664
3342,Dealer,0,1,3,tipe_a,1527.973672,1,1,"Sector-110 Noida,Noida",77.383669,28.536585,65.0,0.042539999995497305,21.666666666666668
3344,Dealer,0,1,2,tipe_b,1075.129534,1,1,"Keshav Nagar,Pune",75.70950500000001,27.16726,83.0,0.07719999997693301,41.5
3345,Owner,0,0,2,tipe_b,953.1590414,1,1,"New VIP Road,Vadodara",88.431928,22.616946,35.0,0.03671999999978178,17.5
3346,Owner,0,0,1,selain tipe_a dan tipe_b,761.4213198,1,1,"Mograwadi,Valsad",72.938723,20.607771,12.0,0.01575999999993696,12.0
3347,Dealer,0,0,2,tipe_b,1060.022026,1,1,"CV Raman Nagar,Bangalore",77.66389000000001,12.98556,77.0,0.07264000002958429,38.5
3348,Dealer,0,0,2,tipe_b,733.7526205,1,1,"Vandalur,Chennai",80.08,12.89,28.0,0.03816000000234411,14.0
3349,Owner,0,1,2,tipe_b,679.8756798999999,1,1,"Chopasni Housing Board,Jodhpur",72.971695,26.2605,35.0,0.05147999999815849,17.5
3350,Dealer,0,0,1,selain tipe_a dan tipe_b,459.0629437,1,1,"Ankur Vihar,Ghaziabad",77.32633,28.66667,9.7,0.021129999999170045,9.7
3351,Builder,1,1,3,tipe_a,1948.806195,1,1,"Amar Shaheed Path,Lucknow",77.32633,26.75,90.6,0.0464899999971521,30.2
3352,Owner,0,0,2,tipe_b,1100.190235,1,1,"Kathora,Amravati",77.75,20.93333,34.7,0.03153999998918369,17.35
3353,Dealer,1,1,3,tipe_a,699.973751,0,0,"Hinjewadi,Lalitpur",73.7413,18.5853,80.0,0.11428999999744276,26.666666666666668
3354,Owner,0,0,3,tipe_a,1550.387597,1,1,"Sundarpada,Bhubaneswar",85.816005,20.230195,38.0,0.02450999999840685,12.666666666666666
3356,Dealer,1,0,1,selain tipe_a dan tipe_b,1176.470588,0,1,"Jalukbari,Guwahati",77.32633,26.154874,17.8,0.015130000003026002,17.8
3357,Builder,1,0,1,selain tipe_a dan tipe_b,467.5675676,0,0,"Anakaputhur,Chennai",77.32633,12.9828,17.3,0.03699999999743352,17.3
3358,Dealer,0,0,2,tipe_b,850.1335924000001,1,1,"Garfa,Kolkata",88.379757,22.504225,35.0,0.04117000000104924,17.5
3359,Dealer,0,1,1,selain tipe_a dan tipe_b,353.9941224,1,1,"Khoni,Mumbai",77.32633,19.164721,26.5,0.07485999999190947,26.5
3360,Dealer,0,0,3,tipe_a,1176.470588,1,1,"Attibele,Bangalore",77.76886999999999,12.7768,31.0,0.02635000000527,10.333333333333334
3361,Owner,0,0,2,tipe_b,1000.0,1,1,"Vajdi,Rajkot",70.705585,22.255549,21.0,0.021,10.5
3363,Owner,0,0,3,tipe_a,1500.093756,1,1,"Domlur,Bangalore",77.63613000000001,12.96082,160.0,0.10665999999002729,53.333333333333336
3364,Dealer,0,1,2,tipe_b,1031.093926,1,1,"Karanjade,Lalitpur",78.41889,24.69028,64.0,0.06207000001278254,32.0
3365,Dealer,0,1,3,tipe_a,1761.2744,1,1,"Indirapuram,Ghaziabad",77.36315,28.63676,78.5,0.04456999999545783,26.166666666666668
3366,Dealer,0,1,2,tipe_b,1060.108131,1,1,"Mira Road East,Lalitpur",72.8675,19.2836,100.0,0.09433000000261295,50.0
3367,Owner,0,0,2,tipe_b,980.1633606,1,1,"Kaval Byrasandra,Bangalore",77.55601,12.928059,42.0,0.042849999998255395,21.0
3368,Owner,0,0,3,tipe_a,1800.055386,1,1,,77.32633,12.9958935,65.0,0.03611000000641092,21.666666666666668
3369,Dealer,0,1,2,tipe_b,1176.470588,1,1,"Zirakpur,Chandigarh",76.822397,30.662283,34.9,0.029665000005933,17.45
3370,Owner,0,0,4,selain tipe_a dan tipe_b,944.9414136,1,1,"mrinal residency,Bhopal",77.452967,23.273626,75.0,0.07937000000271763,18.75
3374,Dealer,1,1,3,tipe_a,1343.660549,0,1,"Pimpri Chinchwad,Pune",73.80373,18.61862,79.8,0.05938999999619696,26.599999999999998
3375,Owner,0,0,4,selain tipe_a dan tipe_b,2000.0,1,1,"Silver Springs Layout,Bangalore",77.592324,12.857176,67.0,0.0335,16.75
3376,Dealer,0,0,2,tipe_b,950.0206526,1,1,"Sector-19 Airoli,Maharashtra",73.077321,19.049989,92.0,0.09684000000233259,46.0
3378,Dealer,0,0,2,tipe_b,1176.470588,1,1,"Irani Wadi,Maharashtra",77.264636,19.180832,140.0,0.11900000002380001,70.0
3379,Owner,0,0,2,tipe_b,1080.246914,1,1,"Brahmapur,Kolkata",77.32633,22.459169,42.0,0.03887999998489234,21.0
3380,Owner,0,0,2,tipe_b,1324.854266,1,1,"Rishi Nagar,Ludhiana",75.805677,30.911916,50.0,0.037740000000875566,25.0
3381,Owner,0,0,2,tipe_b,900.0,1,1,"HL Colony,Chennai",80.25268100000001,13.028627,45.0,0.05,22.5
3382,Dealer,0,1,2,tipe_b,1200.111638,1,1,"Sector 86 Faridabad,Faridabad",77.342588,28.406388,43.0,0.035830000008715855,21.5
3383,Owner,0,0,2,tipe_b,950.04597,1,1,"Ayyakoneru,Vizianagaram",83.41667,18.116670000000003,31.0,0.03262999999884216,15.5
3384,Dealer,0,1,2,tipe_b,1305.0075869999998,1,1,"Zirakpur,Chandigarh",76.822397,30.662283,43.0,0.03295000000639844,21.5
3385,Owner,0,1,2,tipe_b,1176.470588,1,1,"Sector-75 Noida,Noida",77.382136,28.576117,49.5,0.042075000008415006,24.75
3386,Dealer,0,1,3,tipe_a,1176.470588,1,1,"Ghodbunder Road,Maharashtra",72.82,18.96,110.0,0.09350000001870001,36.666666666666664
3387,Dealer,0,1,2,tipe_b,1073.333333,1,1,"Nipania,Indore",75.928572,22.760061,32.2,0.030000000009316772,16.1
3388,Owner,0,0,3,tipe_a,1176.470588,1,1,"Jhotwara,Jaipur",75.73479300000001,26.955346,40.0,0.0340000000068,13.333333333333334
3389,Owner,0,0,2,tipe_b,960.0,1,1,"Narendra Nagar,Nagpur",79.078497,21.105779,42.0,0.04375,21.0
3390,Dealer,0,1,3,tipe_a,1280.150923,1,1,"New Panvel,Lalitpur",73.148278,18.966114,95.0,0.07421000000325743,31.666666666666668
3391,Owner,0,0,2,tipe_b,850.0510031,1,1,"Byramji Town,Nagpur",79.081593,21.172586,50.0,0.05881999999724487,25.0
3392,Owner,0,0,4,selain tipe_a dan tipe_b,1694.654136,1,1,"Sector-82 Noida,Noida",77.389374,28.527597,110.0,0.06491000001902453,27.5
3393,Dealer,0,0,3,tipe_a,1176.470588,1,0,"Sector-67 Gurgaon,Gurgaon",77.063066,28.378021,170.0,0.1445000000289,56.666666666666664
3394,Dealer,1,0,2,tipe_b,1176.470588,1,1,"Patuli,Kolkata",88.38138599999999,22.472622,45.0,0.038250000007650005,22.5
3395,Dealer,1,1,2,tipe_b,1176.470588,0,1,,72.82,18.96,120.0,0.10200000002040001,60.0
3397,Dealer,0,1,3,tipe_a,1170.018282,1,1,"Mira Road East,Lalitpur",72.8675,19.2836,96.0,0.08204999996743641,32.0
3398,Owner,0,0,2,tipe_b,770.1786815,1,1,,77.32633,10.38333,25.0,0.032459999998065384,12.5
3399,Dealer,0,0,2,tipe_b,500.0,1,1,"Sector-11 Khanda Colony,Lalitpur",76.7889,30.760351,47.0,0.094,23.5
3400,Owner,0,0,2,tipe_b,912.0389137,1,1,"Narendrapur,Kolkata",88.39583,22.43917,45.0,0.049339999997853164,22.5
3401,Owner,0,0,3,tipe_a,1176.470588,1,1,"Sarvdharm Colony,Bhopal",77.41667,23.25,25.0,0.02125000000425,8.333333333333334
3402,Owner,0,0,2,tipe_b,1198.360139,1,1,"Horamavu Agara,Bangalore",77.6583,13.0318,38.0,0.0317099999935829,19.0
3403,Owner,0,0,2,tipe_b,1390.176089,1,1,"Polayathodu,Kollam",76.610665,8.878786999999999,75.0,0.05394999999888503,37.5
3404,Owner,0,0,3,tipe_a,1960.315563,1,1,"Bhuwana,Udaipur",73.708104,24.617977,82.0,0.04182999999985206,27.333333333333332
3406,Owner,0,0,1,selain tipe_a dan tipe_b,591.9661734,1,1,"Majorda,Goa",73.91972,15.31611,28.0,0.0472999999969255,28.0
3407,Dealer,0,1,3,tipe_a,1655.130906,1,1,"Whitefield,Bangalore",77.761394,12.9958935,110.0,0.06645999999229063,36.666666666666664
3408,Owner,0,0,2,tipe_b,1500.150015,1,1,"Khodiyar Colony,Jamnagar",70.04974200000001,22.474577,50.0,0.03333000000003333,25.0
3409,Dealer,0,0,3,tipe_a,1675.009626,1,1,,77.481711,28.429614,87.0,0.05194000001525961,29.0
3411,Owner,0,0,2,tipe_b,1387.1635609999998,1,1,"Singanallur,Coimbatore",77.023028,11.00031,67.0,0.04830000000266732,33.5
3413,Dealer,0,0,2,tipe_b,1000.0,1,1,"Periyapanicheri,Chennai",77.32633,13.09,41.0,0.041,20.5
3414,Dealer,0,1,2,tipe_b,1785.95961,1,1,"sector-121 Noida,Noida",77.40199399999999,28.602325,130.0,0.0727899999933369,65.0
3416,Dealer,0,0,3,tipe_a,1735.015773,1,1,"Zirakpur,Chandigarh",76.822397,30.662283,55.0,0.03169999999763691,18.333333333333332
3417,Dealer,0,0,2,tipe_b,1176.470588,1,1,"Cheroor,Thrissur",77.32633,10.549149,38.0,0.03230000000646,19.0
3418,Dealer,0,1,3,tipe_a,2038.320424,1,1,"Suraj Kund,Faridabad",77.285903,28.488415000000003,150.0,0.07358999999894031,50.0
3419,Dealer,0,1,4,selain tipe_a dan tipe_b,2189.01224,1,1,"Zirakpur,Chandigarh",76.822397,30.662283,76.9,0.03513000000402008,19.225
3420,Owner,0,0,1,selain tipe_a dan tipe_b,600.0705965,1,1,"Palanpur Jakatnaka,Surat",72.83,21.17,17.0,0.028330000001924774,17.0
3421,Owner,0,0,3,tipe_a,1451.144792,1,1,"Narendra Nagar,Nagpur",79.078497,21.105779,90.0,0.06202000000011026,30.0
3422,Dealer,0,0,3,tipe_a,1452.564685,1,1,"Salaiya,Bhopal",77.443534,23.150756,32.0,0.022029999992736984,10.666666666666666
3425,Dealer,0,0,3,tipe_a,1176.470588,1,1,"Porur,Chennai",80.15586,13.03478,110.0,0.09350000001870001,36.666666666666664
3426,Owner,0,0,2,tipe_b,1310.186702,1,1,"Ajmer Road,Jaipur",77.32633,26.928785,40.0,0.030529999990795205,20.0
3428,Owner,0,0,2,tipe_b,1000.0,1,1,"4th Block Rajajinagar,Bangalore",77.554634,12.994478,60.0,0.06,30.0
3430,Dealer,1,1,1,selain tipe_a dan tipe_b,440.0,0,0,"Mira Road,Maharashtra",72.864964,19.283359,55.0,0.125,55.0
3432,Dealer,0,0,3,tipe_a,1349.826389,1,1,"Jagatpura,Jaipur",75.841749,26.832353,31.1,0.02303999999810346,10.366666666666667
3433,Owner,0,0,2,tipe_b,909.9181074,1,1,,77.549853,12.913505,50.0,0.054949999998208626,25.0
3434,Owner,0,0,3,tipe_a,1550.0,1,1,"Sector-6 Jankipuram Extension,Lucknow",80.941263,26.936933000000003,62.0,0.04,20.666666666666668
3435,Owner,0,0,2,tipe_b,950.0351865,1,1,"New Santoshpur,Kolkata",88.386889,22.491938,27.0,0.028419999999652643,13.5
3437,Owner,0,0,2,tipe_b,1000.0,1,1,"Ida Scheme No-140,Indore",75.911973,22.709203,33.0,0.033,16.5
3438,Dealer,0,0,2,tipe_b,1058.076652,1,1,"Mahadevpura,Bangalore",77.61585699999999,12.934997,90.0,0.08505999998192948,45.0
3439,Dealer,0,0,2,tipe_b,1079.837139,1,1,"Devanahalli,Bangalore",77.7,13.23,61.0,0.056490000016567316,30.5
3440,Dealer,0,0,3,tipe_a,1935.116676,1,1,"Kudasan,Gandhinagar",72.63429000000001,23.166495,68.0,0.03514000000276986,22.666666666666668
3441,Dealer,0,0,1,selain tipe_a dan tipe_b,550.0045834,1,1,"Sector-19 Airoli,Maharashtra",73.077321,19.049989,60.0,0.10908999999435277,60.0
3442,Dealer,0,0,2,tipe_b,948.8107549,1,1,"Shakti Khand 3,Ghaziabad",76.8972,28.9196,36.7,0.03868000000049325,18.35
3443,Builder,1,1,1,selain tipe_a dan tipe_b,553.1197302,0,0,"Neral,Mumbai",77.32633,18.96667,16.4,0.029649999999222586,16.4
3444,Owner,0,0,3,tipe_a,1724.595383,1,1,"Akota,Vadodara",73.1686,22.2951,65.0,0.037690000008541134,21.666666666666668
3445,Dealer,0,0,1,selain tipe_a dan tipe_b,590.048905,1,1,"Ghansoli,Maharashtra",72.99956,19.126499,55.5,0.09405999999271247,55.5
3446,Dealer,0,0,3,tipe_a,1400.0,1,1,"Salugara,Siliguri",88.326357,26.724219,32.9,0.0235,10.966666666666667
3447,Dealer,0,0,2,tipe_b,1355.156635,1,1,"Rajarajeshwari Nagar 5th Stage,Bangalore",77.32633,12.919423,77.0,0.05681999999948345,38.5
